"","D10d0","D10d1","D10d2","D10d3","D10d4","D10d6","D10d9","D10d11","D10d13","D10d16","D10d18","D10d20","D10d24","D10d27","D10d30","D10d34"
"Benzene, (1-butylhexyl)-",0,0,0,0,0,0,0.0190280097,0,0,0.00192703296666667,0,0,0,0,0,0.0112197792
"Benzene, (1-butylnonyl)-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0070262258,0
"Benzene, (1-butyloctyl)-",0,0,0,0,0,0,0,0,0,0,0,0,0.0108806944,0,0.0548282970666667,0
"Benzene, (1-ethylnonyl)-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00907804803333333,0
"Benzene, (1-ethyloctyl)-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0054047314,0
"Benzene, (1-methylethyl)-",0,0,0.0017071043,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benzene, (1-pentylheptyl)-",0,0,0,0,0,0.0139785923333333,0,0,0,0,0,0.0143977736666667,0,0,0,0
"Benzene, (1-propyldecyl)-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00405938326666667
"Benzene, (1-propylheptyl)-",0,0,0,0,0,0,0,0,0,0,0,0.00280744076666667,0,0,0,0.0024480715
"Benzene, (1-propylnonyl)-",0,0,0,0,0,0,0,0,0,0.00439503416666667,0,0,0,0,0,0
"Benzene, (1-propyloctyl)-",0,0,0.003098014,0,0,0,0,0,0,0.0060144848,0,0,0.00684375323333333,0,0,0.00435983023333333
"Benzene, 1-chloro-4-(trifluoromethyl)-",0,0.00182289546666667,0,0,0,0,0,0,0,0,0,0.0032917654,0,0,0,0.0037064884
"Benzene, 1-ethyl-2-methyl-",0.0116583317666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benzene, 1-ethyl-4-methyl-",0,0,0,0,0,0,0,0,0,0,0.0215285306333333,0.0171215574,0,0,0,0
"Benzene, 1,2,3-trimethyl-",0,0,0,0,0.004365494,0,0,0,0,0,0,0.0204841943666667,0,0,0,0
"Benzene, 1,2,3,5-tetrafluoro-",0,0,0,0,0,0.035828366,0,0,0,0,0,0,0,0,0,0
"Benzene, 1,3-difluoro-",0,0,0,0,0.053039769,0,0,0,0,0,0,0,0,0,0,0.0466478245666667
"Benzene, 1,3-dimethyl-",0,0,0,0,0,0,0,0,0,0.0160179649,0,0,0,0,0.0729730789333333,0
"Benzene, propoxy-",0,0,0,0,0,0,0,0,0,0,0,2.68402695206667,0,0,0,0
"Benzeneacetaldehyde",0,0,0,0,0,0,0,0.00429158746666667,0,0,0,0,0,0,0,0
"Benzoic acid, hydrazide",0,0,0,0,0,0,0,0.0101267728,0,0,0,0,0,0,0,0
"Benzoic acid, methyl ester",0,0,0,0,0,0,0,0,0.0159177174,0,0.0176423417666667,0.0196880469,0,0,0,0
"Benzonitrile",0.0255403541333333,0,0,0,0,0,0,0,0.1669909433,0,0,0,0,0.0681809496666667,0,0
"Benzoxazole",0,0,0,0,0,0,0,0,0,0.0034640097,0,0,0,0,0,0
"Benzyl alcohol",0,0,0,0,0,0.00599148533333333,0.0145920575666667,0,0,0,0,0.0702380473666667,0,0,0,0.0659914745666667
"Bicyclo[2.2.1]heptan-2-one, 1,7,7-trimethyl-, (1S)-",0,0,0,0,0.0189530053333333,0,0,0,0,0,0,0,0,0,0,0
"Bicyclo[2.2.1]heptane, 2,2-dimethyl-3-methylene-, (1S)-",0,0,0,0.00317505803333333,0,0,0,0,0,0,0,0,0,0,0,0
"Bicyclo[4.2.0]octa-1,3,5-triene",0,0,0,0,0,0,0,0,0,0,0.0370931474333333,0,0.0105444458,0,0,0
"Bis-(ethoxycarbonyl)methoxymethyloxyiminomethane",0,0,0,0,0,0,0,0.0879925476666667,0.278339332033333,0,0.0377893302,0.0992606058,0,0,0,0
"Butanal, 2-methyl-",0,0,0,0,0,0,0,0,0.0188661298333333,0,0,0,0,0,0,0
"Butanal, 3-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0.05504851,0,0,0
"Butane, 1-chloro-",0,0,0,0,0,0,0.0049367315,0,0,0,0,0,0,0,0.0159601902,0
"Butane, 1-isocyano-",0,0,0,0,0,0,0,0,0,0,0,0,0.0778207990666667,0,0,0
"Butane, 1-methoxy-",0,0,0,0,0,0,0,0,0.00277976393333333,0,0,0.0157588759666667,0,0.0033706307,0,0
"Butane, 1-methoxy-3-methyl-",0,0,0,0,0,0,0,0.102939104766667,0.2127678521,0.0603526095,0.0360028181,0.0403930740666667,0.0105979822333333,0.0139888213333333,0,0
"Butane, 2-chloro-3-methyl-",0,0,0,0,0,0,0,0,0.0617050809333333,0,0,0,0,0,0,0
"Butane, 2-methyl-",0,0,0,0,0,0.273021449666667,0,0,0,0,0,0,0,0.0707777691333333,0.0863432326333333,0
"Butanenitrile",0,0,0,0,0,0,0,0,0.0097363624,0,0,0,0,0,0,0
"Butanenitrile, 2-methyl-",0,0,0,0,0,0,0,0,0.00666549446666667,0,0,0,0,0,0,0
"Butanoic acid",0,0,0,0,0,0,0,0,0,0,0,0,0.00946215246666667,0,0,0
"Butanoic acid, 2-methyl-, methyl ester",0.00161203756666667,0,0,0,0,0,0,0,0.00205135383333333,0,0,0,0,0,0,0
"Butanoic acid, 3-methyl-",0,0,0,0,0,0,0,0,0,0.0249042961666667,0.4427402153,0.00583704806666667,0.0175388442,0.00735774433333333,0,0
"C2H5CH=CHCH=CH2",0.00839442273333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Caprolactam",0,0,0,0,0,0,0,0,0,0,0,0,0.0212748141666667,0,0,0
"Carbamic acid, N-[1,1-bis(trifluoromethyl)ethyl]-, 4-(1,1,3,3-tetramethylbutyl)phenyl ester",0,0,0,0.00561163016666667,0,0,0,0,0,0,0,0.0066184181,0,0,0,0
"Carbohydrazide",0,0,0,0.0349609845666667,0,0,0,0.0351549146,0,0,0.107760334066667,0.0417255965,0,0,0,0
"Carbonic acid, dimethyl ester",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234100437666667,0,0
"CH3NHCH2CN",0,0,0,0,0,0,0,0,0,0.8164747009,0.582582164133333,0.568592887633333,0.0087862945,0,0,0
"Cyanamide, dimethyl-",0,0,0,0,0,0,0,0,0.0118372141333333,0.0416559796666667,0.0838340660666667,0.0341989860333333,0,0,0,0
"Cyclobutanol",0,0,0.0715417526666667,0,0.083840131,0,0,0,0,0,0,0,0,0,0,0.160506137233333
"Cyclohexane",0,0,0,0,0,0,0,0,0,0.00341718073333333,0.00693476493333333,0,0,0,0,0
"Cyclohexane, 1-ethyl-2-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011986542,0,0
"Cyclohexane, 1,3-dimethyl-, cis-",0,0,0,0,0,0.0109098173333333,0,0,0,0,0,0,0,0,0,0
"Cyclohexane, ethyl-",0,0,0,0,0,0,0,0.00152282603333333,0,0,0,0,0,0,0,0
"Cyclohexane, isothiocyanato-",0.0599111630333333,0,0,0,0.051942046,0,0,0,0,0.0224624216,0,0,0,0,0,0
"Cyclopentanone",0,0,0,0,0,0.0975292783333333,0,0,0.0906452690666667,0.0401527645666667,0,0,0,0,0,0
"Cyclopentene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0644729758666667,0
"Cyclopropane, 1,1-dimethyl-",0,0,0,0,0,0,0,0.00286529816666667,0,0,0,0,0,0,0,0
"Cyclopropane, ethylidene-",0,0,0,0,0,0,0,0,0.0289555508666667,0.029450998,0,0,0,0,0,0
"Decanal",0,0.0437530499,0,0.048948786,0,0,0,0,0,0,0,0,0,0,0,0
"Decane",0,0.0509416841333333,0.0475874136,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diazene, dimethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134276314,0
"Diethyl azodicarboxylate",0,0,0.0262679573,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diisobutyl cellosolve",0,0,0,0,0,0,0.3838348814,0,0,0,0,0.0223543098666667,0,0,0,0
"Dimethyl ether",0,0.100576700966667,0,0,0,0,0,0.0187702463666667,0,0,0,0.0395505627333333,0,0,0,0
"Dimethyl sulfide",0,0,0,0,0,0.0167182066666667,0.0043000379,0,0,0,0,0.125786603366667,0.00127144846666667,0.00140167946666667,0,0.001273103
"Dimethyl sulfone",0,0,0,0,0,0,0,0,0.00276733043333333,0.00479584433333333,0.0260467859,0.0042632928,0.00323317926666667,0.00229064853333333,0,0
"Dimethyl trisulfide",0,0,0,0,0,0,0,0.0037450521,0.1389868087,0.291772697366667,0.328579896633333,0.313382613033333,0.0399046371666667,0.0237361141666667,0.0232944815666667,0.008168313
"Disulfide, bis(1,1,3,3-tetramethylbutyl)",0,0,0,0,0,0,0.0044402361,0,0,0,0,0,0,0,0,0.00802278943333333
"Disulfide, dimethyl",0,0,0,0,0,0,0.00522722926666667,0.0406595345,0.5543721184,0.991956136733333,0.997289344566667,0.8799656694,0.31146283,0,0.3721603212,0.2461283785
"Disulfide, methyl (methylthio)methyl",0,0,0,0,0,0,0,0,0,0.0038956491,0.00475740733333333,0.0035803159,0,0,0,0
"dl-Alanyl-dl-leucine",0,0.0135160578,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dl-Alanyl-l-alanine",0,0,0,0,0.0437789376666667,0.160471577,0,0,0.0334735229,0,0,0,0,0,0,0
"Erythro-3-bromo-2-pentanol",0,0,0,0,0,0,0,0,0,0,0.0543765125,0.0313058604,0,0,0,0
"Ethane",0,0,0,0,0,0,0,0,0,0,0.313516168366667,0,0,0,0,0
"Ethane, 1,2-dichloro-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00534404016666667,0
"Ethane, iodo-",0.00648715933333333,0.0027872015,0,0.0084929043,0,0,0,0,0,0,0,0,0,0,0,0
