"","Blood1SS2","Blood1SS3","Blood1SS4","Blood1SS5","Blood1SS6","Blood2SS2","Blood2SS3","Blood2SS4","Blood2SS5","Blood2SS6","Blood3SS5","Blood3SS6"
"7,11-Hexadecadienal",0,0,0,0,0,0,0,0,0,0,0.0180518843333333,0
"9-Methylbicyclo[3.3.1]nonane",0,0,0,0,0,0,0.00265328495,0,0,0,0,0
"Acetaldehyde",0,0,0,0,0,0.0063704306,0,0,0,0,0,0
"Acetaldehyde, hydroxy-",0,0,0,0,0,0.00212643685,0.00087894215,0,0,0,0,0
"Acetamide",0,0,0,0,0.01569313245,0,0.03190539765,0.00221432716666667,0,0,0,0
"Acetic acid, [(aminocarbonyl)amino]oxo-",0.00440448665,0,0,0,0,0,0,0,0,0,0,0
"Acetic acid, butyl ester",0,0,0,0,0,0,0.008838563,0,0,0,0,0
"Acetic acid, methoxy-, anhydride",0,0,0,0,0,0.0158226124,0,0,0,0,0,0
"Acetoin",0.00707496665,0,0,0,0,0,0,0,0,0,0,0
"Acetone",0,0,0,0,0,0,0.19189388235,0,0,0,0,0
"Acetonitrile, (dimethylamino)-",0,0,0,0,0,0.0005384342,0.03746137065,0,0,0,0,0
"Acetophenone, 4'-hydroxy-",0,0,0,0,0.0682611631,0,0,0,0,0,0,0
"Ammonium acetate",0.0021875192,0,0,0,0,0,0,0,0,0,0,0
"Aniline",0,0,0.0266755124666667,0,0,0,0.06041621185,0,0,0,0,0
"Anisole",0.0036077138,0,0,0,0,0,0,0,0,0,0.021572524,0
"Aziridine, 1-methyl-",0,0,0,0,0,0,0,0.0110802510666667,0,0,0,0
"Benzaldehyde, 2-hydroxy-",0.0017196436,0,0,0,0,0,0,0,0,0,0,0
"Benzaldehyde, 2-methyl-",0.00986538745,0,0,0,0,0,0,0,0,0,0,0
"Benzene",0.0090825968,0,0,0,0,0,0,0,0,0,0,0
"Benzene, (1-butylheptyl)-",0,0.221217194,0,0,0,0,0,0,0,0,0,0
"Benzene, (1-butylhexyl)-",0.0058640499,0,0,0,0,0.0117008287,0.002861045,0,0,0,0,0
"Benzene, (1-butyloctyl)-",0.0058870803,0,0,0,0,0,0,0,0.00684666293333333,0,0.0123127483333333,0
"Benzene, (1-ethylpropyl)-",0,0.0094648175,0,0,0,0,0,0,0,0,0,0
"Benzene, (1-pentyloctyl)-",0,0,0,0,0,0.0023933859,0,0,0,0,0,0
"Benzene, (1-propyldecyl)-",0,0,0,0,0,0,0,0,0,0,0,0.00612280866666667
"Benzene, (1-propyloctyl)-",0,0,0,0,0,0,0.0309332883,0,0.0137092393,0,0,0
"Benzene, (1,3-dimethylbutyl)-",0.02267283305,0,0,0,0,0,0,0,0,0,0,0
"Benzene, [1,2,2,2-tetrafluoro-1-(trifluoromethyl)ethyl]-",0,0,0,0,0.0038617943,0,0,0,0,0,0,0
"Benzene, [2,2,2-trifluoro-1-(trifluoromethyl)ethyl]-",0.0620484416,0.2631017495,0,0,0,0,0,0,0,0,0,0
"Benzene, 1-(1-methylethenyl)-2-(1-methylethyl)-",0,0,0,0,0,0,0.00241182105,0,0,0,0,0
"Benzene, 1-chloro-3-(trifluoromethyl)-",0,0.022028966,0,0,0,0,0,0,0,0,0,0
"Benzene, 1-ethenyl-2-methyl-",0,0,0,0,0,0.01031477065,0,0,0,0,0,0
"Benzene, 1-ethyl-2,4-dimethyl-",0.05692729735,0,0,0,0,0,0,0,0,0,0,0
"Benzene, 1-ethyl-3,5-dimethyl-",0,0,0,0,0,0,0,0,0,0,0.005134175,0
"Benzene, 1-ethyl-4-(1-methylethyl)-",0,0.1180495495,0,0,0,0,0,0,0,0,0,0
"Benzene, 1-methoxy-4-methyl-",0.0071561484,0,0,0,0,0,0,0,0,0,0,0
"Benzene, 1-methyl-",0,0,0.00450411433333333,0,0,0,0.0065268872,0,0,0,0,0
"Benzene, 1-methyl-4-(1-methylpropyl)-",0,0,0,0,0,0,0,0,0,0,0.0177075813333333,0
"Benzene, 1-methyl-4-butyl",0.00422050095,0,0,0,0,0,0,0,0,0,0,0
"benzene, 1,1'-(1-methylethylidene)bis[4-methyl-",0,0,0,0,0,0,0.3191362621,0,0,0,0,0
"Benzene, 1,2-dichloro-",0,0.0047156275,0,0,0,0,0,0,0,0,0,0
"Benzene, 1,2,3-trimethyl-",0.0034104009,0,0,0,0,0,0,0,0,0,0,0
"Benzene, 1,2,3,5-tetrafluoro-",0,0.0068644615,0,0,0,0,0,0,0,0,0,0
"Benzene, 1,2,4,5-tetrafluoro-3-(trifluoromethyl)-",0,0,0,0,0,0.00351070775,0,0,0,0,0,0
"Benzene, 1,2,4,5-tetramethyl-",0.00424514445,0,0,0,0,0,0,0,0,0,0,0
"Benzene, 1,3-dichloro-",0.0039043087,0,0,0,0,0,0,0,0,0,0,0
"Benzene, 1,3-diethyl-",0,0,0,0,0,0,0,0,0.0051528251,0,0,0
"Benzene, 1,3-dimethyl-5-(1-methylethyl)-",0,0,0,0,0,0,0,0,0.00710919506666667,0,0,0
"Benzene, 1,3,5-trimethyl-2-propyl-",0,0,0,0,0,0,0.0022044313,0,0,0,0,0
"Benzene, 1,4-dichloro-",0.00809634515,0,0,0,0,0,0,0,0,0,0.026529751,0
"Benzene, 2-(1,1-dimethylethyl)-1,4-dimethoxy-",0.00177149375,0,0,0,0,0,0,0,0,0,0,0
"Benzene, 2-propenyl-",0.04691268315,0,0,0,0,0,0,0,0,0,0,0
"Benzene, 4-ethenyl-1,2-dimethyl-",0.0174217228,0,0,0,0,0.0195419955,0,0,0,0,0,0
"Benzene, chloro-",0,0,0,0,0.001344171,0,0,0,0,0,0,0
"Benzene, hexyl-",0,0,0,0,0,0,0.02867647795,0,0,0,0,0
"Benzene, iodo-",0,0,0,0,0,0,0.09521855885,0,0,0,0.00270482566666667,0
