"","D6d0","D6d1","D6d2","D6d3","D6d4","D6d5","D6d6","D6d7","D6d8","D6d9","D6d10","D6d11","D6d13","D6d15","D6d17","D6d20","D6d22","D6d24","D6d27","D6d29","D6d45","D6d51","D6d59","D6d66","D6d73"
"1,3,6-Trioxocane, 2-methyl-",0,0,0,0,0,0,0,0,0,0,0.00985686746666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,4-Benzenediol, 2,6-bis(1,1-dimethylethyl)-",0,0,0,0,0,0,0,0,0,0,0,0.007915997,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,4-Dioxan-2-ol",0,0,0,0,0,0,0,0,0,0.00274976246666667,0.0242240676333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,4-Dioxane",0,0,0,0.0597558932666667,0,0.0716497073333333,0,0.0334487141333333,0,0.0576912733333333,0,0,0,0.0728912488,0,0,0,0,0,0,0,0,0,0,0.0644825646666667
"1,4-Dioxane, 2,5-dimethyl-",0,0,0,0.0029344444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,4-Dioxin, 2,3-dihydro-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00805241436666667,0,0,0,0,0,0,0,0,0,0
"12-Methylaminolauric acid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0429812046,0,0,0,0,0,0,0,0,0
"1H-Pyrrole, 1-butyl-",0,0,0,0,0,0,0,0,0,0,0.0340751463666667,0.0366587633333333,0,0,0.0133351505333333,0.027456977,0,0,0,0,0,0,0,0,0
"1H-Pyrrole, 1-methyl-",0,0,0,0,0,0,0,0,0,0,0.00825470383333333,0.037575793,0,0,0.0087840449,0.0330612432666667,0.0289656421,0,0,0.0577847168666667,0,0.0054677647,0.00740971563333333,0,0
"1H-Pyrrole, 2-ethyl-4-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0042256762,0,0,0,0,0,0,0,0
"1H-Pyrrole, 2-methyl-",0,0,0.0246818982,0,0.0495142376666667,0.00801564133333333,0,0,0,0,0.239530065766667,0,0,0,0.0390929406666667,0.0386774563,0,0,0,0.0311768213333333,0,0,0,0,0
"1H-Pyrrole, 2,5-dimethyl-",0,0,0,0,0,0,0,0,0,0,0,0.0247488896666667,0,0.0155445227666667,0,0,0.0782871699,0,0.036326041,0,0,0,0,0,0
"2-Amino-1,3-propanediol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0397215391,0,0,0,0,0,0,0,0
"2-Butanol",0,0,0,0,0,0,0,0,0,0,0,0,0.336197637666667,0,0,0,0.325409144966667,0,0.503408497333333,0,0.403433839733333,0,0.336972399866667,0.1533978209,0.0480156436666667
"2-Butanone, 3-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2381889255,0.640930975666667,0,0.2654296543,0,0.1160242383,0.197086394633333,0.1013102977,0
"2-Butanone, 3,3-dimethyl-",0,0,0,0,0,0,0,0,0.0045537476,0.00324570913333333,0,0,0,0,0,0,0,0,0,0,0.00563645763333333,0,0,0,0
"2-Butenal",0,0,0,0,0.0192905143333333,0,0.00455569896666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Butenal, 2-ethenyl-",0,0,0,0,0.0111570876666667,0,0,0,0,0,0.00324523396666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Butenal, 2-methyl-",0,0,0,0.0026962842,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005738332,0,0,0,0,0,0,0
"2-Butenal, 3-methyl-",0,0,0,0,0.00684634166666667,0,0.0050486821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Butyne",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005355263,0.00834398653333333,0,0,0,0,0,0
"2-Chloroethanol",0,0,0,0.1358822763,0,0,0.00552673546666667,0,0.306977641266667,0.861143573933333,0,0,0.494167326333333,0,0.301164313333333,0,1.21146721196667,1.598626168,0.554795811666667,0,0,0,0,0,0
"2-Cyclohexen-1-one",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00534155586666667,0.0054835533,0,0,0.00802030396666667,0,0,0,0,0,0
"2-Cyclohexen-1-one, 3-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0036781434,0,0,0,0
"2-Cyclohexene-1-methanol, 2,6,6-trimethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00754617756666667,0,0,0,0,0,0,0,0
"2-Cyclopenten-1-one, 2-methyl-",0,0,0,0,0.0101411693333333,0,0,0,0,0,0,0,0,0,0.0130536281666667,0,0.0106805793333333,0,0.00879257786666667,0,0,0,0,0,0
"2-Decanone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294753998,0,0
"2-Decen-1-ol",0,0,0,0,0,0,0,0,0.0132087670666667,0,0.0073289999,0,0,0,0,0.00897702773333333,0,0,0,0,0,0,0,0,0
"2-Ethylacrolein",0,0,0,0,0.0167866843333333,0,0.0107532561,0,0,0,0.0176455189333333,0,0,0,0,0,0.0122826704666667,0.0144951756666667,0,0,0,0,0,0.008619084,0.008418615
"2-Ethylhexyl acrylate",0,0,0,0,0,0,0,0,0,0,0,0,0.037699328,0,0,0,0,0,0,0,0,0,0,0,0
"2-Fluoro-3-(trifluoromethyl)phenol",0,0,0,0.00103788893333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Furancarbonitrile",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00129471303333333,0,0.00264897693333333,0,0,0,0,0.00106220343333333,0,0,0,0
"2-Heptanol",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0367032115333333,0.048897741,0.0613989050666667,0.1678331955,0.0603318376666667,0.123512210533333,0.0464244346333333,0,0.005083211,0,0,0
"2-Heptanone",0,0,0.0347519619333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.689435050733333,0.543199073,0,0,0,0,0.148757581133333,0,0
"2-Heptanone, 6-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00999486813333333,0,0.0190931933333333,0,0,0.00815488293333333,0.0115989339,0.0055914732,0.005330775,0,0
"2-Heptanone, 7,7,7-trichloro-",0,0,0,0,0,0,0,0,0.7357929942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Heptenal",0,0,0,0,0,0,0,0,0,0,0,0,0.00899238966666667,0,0,0,0.0700677764333333,0,0,0.0345895725,0,0,0,0,0
"2-Heptene",0,0,0,0,0,0,0.0083926191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0129886753333333
"2-Hexanol",0,0,0,0,0,0,0,0,0,0,0,0,0.0107948403333333,0.0116833152,0.0162193880666667,0.0306567685333333,0.0507597414,0.014590165,0.0231568875333333,0.0188424278666667,0,0,0.0130898294333333,0,0
"2-Hexanone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0629343770333333,0.131073652766667,0,0,0,0.0737137890333333,0.0289246428,0,0,0
"2-Hexanone, 5-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159121669666667,0,0,0,0,0,0.049516193,0,0.020473982,0,0
"2-Hexen-1-ol",0,0,0,0,0,0,0,0,0,0,0,0,0.00222455233333333,0,0,0,0,0,0,0,0,0,0.00186145036666667,0,0
"2-Hexenal",0,0,0,0,0,0,0,0,0,0,0,0,0.0191811223333333,0,0,0,0,0,0,0,0.0133772422333333,0,0,0,0
"2-Hexene, 3-methyl-",0,0,0,0,0.00373786133333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Hexene, 3,5-dimethyl-",0,0,0,0,0,0,0,0,0,0.0124390978333333,0,0,0,0,0,0,0,0,0,0,0,0.0161361258,0,0,0
"2-Hydroxy-3-hexanone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137180469,0,0,0.0294092181666667,0.0340581466,0.00760480966666667,0,0,0,0
"2-Hydroxy-3-pentanone",0,0,0,0,0,0,0,0,0,0,0,0.014712293,0,0.0210439180333333,0.0194683939,0.0404914391,0.0943783224,0.039646011,0.0347771823333333,0.0157481682,0,0,0,0,0
"2-Methylundecanal dimethyl acetal",0,0,0,0,0,0,0,0,0.0153822145666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-n-Butyl furan",0,0,0,0,0,0,0.00534690596666667,0,0.00908464193333333,0,0,0,0,0,0,0,0.0100446125333333,0,0,0.0070107494,0.0100166265,0,0,0,0.00571228833333333
"2-Nonanone",0,0,0,0.0141769785333333,0,0,0,0.00985703756666667,0,0,0,0,0,0.0605056485666667,0.0975785585666667,0.1700991147,0.436573871866667,0.219218756666667,0,0,0.5257454823,0.04809816005,0.133893824033333,0,0
"2-Octanone",0,0,0,0,0,0,0.0207892065,0,0,0,0,0,0,0.0111651589333333,0,0.0435888712,0,0,0.0696342254666667,0,0.0572802486666667,0,0.0145600503,0,0
"2-Octen-1-ol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176506562666667,0.0123946465666667,0
"2-Octenal",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00558088726666667,0,0,0.0226889369,0,0.020621408,0,0.00559075776666667,0,0,0,0
"2-Octene",0,0,0,0.0125592839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0196568620666667,0,0.0061977963,0.00435922555,0,0,0
"2-Pentanol",0,0,0,0,0,0,0,0,0,0,0,0.071381426,0.176146960333333,0.163009373733333,0.207275115966667,0.2688937137,0.3054305788,0.337761501,0,0.4428302341,0.169519024166667,0.01561528115,0.0707804569666667,0.0321910379333333,0.00903654666666667
"2-Pentanone, 3-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0.035033723,0,0.039330674,0.0524323906,0.1380101801,0.0648789486666667,0,0,0.137967071466667,0,0.0289426801333333,0,0.0186770976666667
"2-Pentanone, 4-hydroxy-4-methyl-",0.0150382150333333,0,0,0,0,0,0,0,0,0,0.612618751,0,0,0,0,0,0,0,0,0.0357232618666667,0.00609735746666667,0,0,0,0
"2-Pentanone, 5-hydroxy-",0,0,0.00470136453333333,0,0,0,0,0,0,0,0,0.0248493533333333,0,0,0,0.0384725459333333,0,0.0278785336666667,0.0230838271,0.0123421266333333,0,0,0,0,0
"2-Pentene, 3-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009828599,0,0,0,0,0,0,0.0021887955,0,0,0
"2-Pentene, 4-methyl-",0,0,0,0,0,0,0,0,0,0,0.0138155109333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Phenylpropenal",0,0,0,0,0,0,0,0,0,0,0,0,0.00658320233333333,0.00357853133333333,0,0,0,0,0,0,0,0,0,0,0
"2-Propanamine",0,0,0,0,0,0,0,0,0,0,0,0,0.0219543356666667,0,0,0,0.0325340957333333,0,0,0,0,0,0,0,0
"2-Propanol, 1-methoxy-",0,0,0,0,0,0,0,0,0,0,0,0.0110883023333333,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Propanol, 2-methyl-",0,0,0.0118809620333333,0,0,0.00275573266666667,0,0,0.00866998343333333,0,0,0,0,0,0,0,0,0,0,0.00475772733333333,0,0,0,0,0
"2-Propanone, 1-(acetyloxy)-",0,0,0,0,0,0,0,0,0,0,0,0.120527812333333,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Propanone, 1-chloro-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197740266,0,0,0
"2-Propanone, 1-hydroxy-",0,0,0,0,0,0,0,0,0,0,0,0.120828826333333,0.08545311,0,0.0269428329333333,0.0109944018666667,0.0585245708333333,0,0,0,0,0,0,0,0
"2-Propen-1-ol",0,0,0,0,0,0,0,0,0.00904202946666667,0.0039110809,0,0,0,0,0.1106129702,0.311432550433333,0.486523036233333,0.105558927666667,0,0,0,0,0,0,0
"2-Propenenitrile",0.00475239166666667,0,0,0,0,0,0,0.00671852143333333,0,0,0,0,0,0,0,0,0,0,0.0211834247333333,0,0,0,0.0112005520333333,0,0
"2-Propenoic acid, methyl ester",0,0,0,0,0,0,0.00347340016666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00400858486666667,0,0.00753739123333333,0,0
"2-Tetradecanone",0,0,0,0,0.0174232136666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Thiophenecarboxaldehyde",0,0,0,0,0.006177023,0,0.00176742846666667,0,0,0.0015386757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Tridecen-1-ol",0,0,0,0,0.024374223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Trifluoroacetoxypentadecane",0,0,0,0,0,0,0,0,0,0,0,0.0102216116666667,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Undecanethiol, 2-methyl-",0,0,0,0,0,0.00573497633333333,0,0,0,0.0138964538666667,0.0145525296666667,0,0,0.0152261802333333,0,0,0,0,0,0,0,0,0,0,0
"2-Undecanone",0,0,0,0,0,0,0,0,0.0108284692,0,0,0,0,0,0,0,0.0941334939333333,0,0.0649179901333333,0,0.1854731221,0,0,0,0
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",0,0,0,0,0,0,0,0,0,0,0,0.181211074333333,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,3-Bis(trifluoromethyl)buta-1,3-diene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0056863022,0,0,0,0,0,0,0,0
"2,3-Butanedione",0,0,0,0,0,0,0,0,0,0,0,0,0.602011186,0.1930134559,0,0,0,0.371772958666667,0.5505212727,0.195327516433333,0,0.04246810805,0,0,0
"2,3-Dimethyl-3-heptene",0,0,0,0,0,0,0,0.00287625293333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,3-Pentanedione",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0363886968,0,0.138822055166667,0,0,0,0,0,0,0,0
"2,3,5-Trimethyl-6-ethylpyrazine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0061636076,0.0500348280666667,0,0.0125329599333333,0,0
"2,3,5-Trimethyl-6-propylpyrazine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0123856490333333,0,0,0,0
"2,4-Difluorophenol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00384731966666667,0,0.00246949903333333,0,0.00361524335,0,0,0
"2,4-Dithiapentane",0,0,0,0,0,0,0,0,0,0,0,0.00544543,0,0,0.00751793003333333,0.0118438811666667,0.0277489029,0.0186413096666667,0.0409219925333333,0.0291288575,0,0,0.0110461371,0.0027517786,0.00249421033333333
"2,4-Pentadien-1-ol, 3-pentyl-, (2Z)-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00410644433333333
"2,4,6-Trifluorobenzoyl chloride",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00654396935,0,0,0
