"","D3d0","D3d1","D3d2","D3d3","D3d4","D3d5","D3d7","D3d11","D3d14","D3d16","D3d19","D3d24","D3d32","D3d38"
"N,N,O-Triacetylhydroxylamine",0,0,0,0,2.16496373446667,0,0,0,0,0,0,0,0,0
"Naphthalene, 1-methyl-",0,0,0.004931755,0,0,0,0,0,0,0,0,0,0,0
"Nonane, 2,2,4,4,6,8,8-heptamethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00650219526666667
"Octane, 1-chloro-",0,0,0,0,0,0,0,0.00141369423333333,0,0,0,0,0,0
"Octane, 2-methyl-",0,0,0,0,0,0,0.00309323443333333,0,0,0,0,0,0,0
"Octane, 3-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0.00223289353333333,0
"Oleic Acid",0,0,0,0,0,0,0,0,0,0.000485193233333333,0,0,0,0
"Oxirane, 2-ethyl-2-methyl-",0.0051547437,0,0,0,0,0,0,0,0,0,0.0108767849333333,0,0,0.0066775303
"Oxirane, 2-methyl-2-(1-methylethyl)-",0,0.0103927672,0,0,0,0,0,0,0,0,0,0,0,0
"p-Cresol",0,0,0,0,0,0,0,0,0,0,0,0,0.00120255613333333,0
"Pentadecane",0,0,0,0,0,0,0,0,0,0.00283076816666667,0,0,0,0
"Pentane, 1-methoxy-",0,0,0,0,0,0,0,0,0,0.00182051213333333,0,0,0,0
"Pentane, 1,1,2,2,3,3,4,4-octafluoro-",0,0.0114255815333333,0,0,0.0299454297666667,0,0,0,0,0,0.0322799385333333,0,0,0.0092124258
"Pentane, 3-ethyl-2,2-dimethyl-",0,0,0,0,0.00779059076666667,0,0,0,0,0,0,0,0,0
"Pentane, 3-methyl-",0.00428942943333333,0,0,0,0,0,0,0.00555066793333333,0,0,0,0,0,0
"Pentane, 3,3-dimethyl-",0,0,0,0,0,0,0.00133755453333333,0,0,0,0,0,0,0
"Pentanoic acid, 2,2,4-trimethyl-3-carboxyisopropyl, isobutyl ester",0,0,0,0,0,0,0,0,0,0,0,0,0.0184000036,0
"Pentanoic acid, 2,2,4-trimethyl-3-hydroxy-, isobutyl ester",0,0,0,0,0,0,0,0,0,0.00298973296666667,0,0,0.0046845186,0
"Perfluorooctane",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00730514153333333
