"","D8d0","D8d1","D8d2","D8d3","D8d4","D8d5","D8d6","D8d9","D8d11","D8d13","D8d16","D8d18","D8d20","D8d24","D8d27","D8d31","D8d34","D8d39","D8d46","D8d53","D8d66","D8d72"
"2-Octanone",0,0,0,0,0,0,0.00996352836666667,0.0311631642333333,0,0,0,0,0,0.0334542869333333,0,0,0,0,0,0,0,0
"2-Octen-1-ol",0,0.00733042076666667,0,0,0,0.008424179,0,0.0873422156666667,0,0,0,0.0592815704666667,0,0,0,0,0.0218341068,0,0,0.0919865869666667,0.0561879655,0
"2-Octenal",0,0,0,0,0,0,0,0,0.0107210020333333,0,0.0097192059,0,0,0,0,0,0,0,0,0,0,0.0237420555
"2-Octene",0,0,0,0,0.0081225639,0,0,0,0,0,0,0,0.0774983903,0.00588425456666667,0,0,0.00478980276666667,0,0,0,0.0108236781333333,0
"2-Oxetanone, 4-methyl-",0,0,0,0,0,0,0,0.0257122125333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Pentanol",0,0,0,0,0,0.0335845013333333,0,0.365341774766667,0.183468055133333,0.272724597466667,0.476573949833333,0.479795722,1.47361159233333,0.0499655721,0.138588744933333,0.0907526815,0.0934967768,0,0.130332875466667,0.1567307205,0.0302329885,0.0167678596333333
"2-Pentanol, 3-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0282084356666667,0.0440468027,0,0,0,0,0
"2-Pentanone, 3-methyl-",0,0,0,0,0,0,0,0.0637958527666667,0.0226174225666667,0.0444148983666667,0.1442407315,0.117868513633333,0.4679117143,0.0472592039666667,0.0829458946333333,0,0.0690127301333333,0.0997383503333333,0,0.100880887266667,0.0203624863333333,0.0197207928
"2-Pentanone, 4-hydroxy-4-methyl-",0,0,0,0,0,0.00943546533333333,0,0,0.0423749575333333,0,0.0270283029,0,0.116430294666667,0,0.0825918805,0,0,0,0,0,0,0
"2-Pentanone, 5-hydroxy-",0,0,0,0,0.00328574053333333,0,0,0.0576143871666667,0,0,0.0249492589666667,0,0,0.0055369519,0.0112700116,0.00822151883333333,0.0116898964,0,0,0,0,0
"2-Piperidinone, N-[4-bromo-n-butyl]-",0,0,0,0,0.0422482738,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0779713056,0,0,0
"2-Propanamine",0,0,0,0,0,0,0,0.0301434382666667,0.268088259266667,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Propanol, 2-methyl-",0,0,0,0.00593723986666667,0,0,0,0,0,0,0,0,0.026953573,0.0056551887,0,0,0.0120550955,0,0,0,0,0
"2-Propanone, 1-chloro-",0,0,0,0,0.0017856302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Propanone, 1-hydroxy-",0,0.0149755854333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Propanone, 1,1,1-trifluoro-",0,0,0,0,0,0,0,0,0.0378710967,0,0,0,0,0,0,0,0,0,0.223521051066667,0,0,0
"2-Propen-1-ol",0,0.0065257844,0,0,0,0,0.0162481844,0,0.138477710366667,0,0,0.0174065336333333,0,0,0,0,0,0,0,0,0.0174555740333333,0
"2-Propenenitrile",0,0,0,0,0,0,0,0,0,0,0.0400079735,0,0,0,0.0600224759,0,0,0,0,0,0,0
"2-Propenoic acid, methyl ester",0,0,0,0,0,0,0,0,0,0.0232146669,0,0,0,0,0,0,0,0,0,0.0109474247666667,0,0
"2-Propyn-1-ol, acetate",0,0,0,0,0,0,0,0,0,1.17587105276667,0,0,0,0,0,0,0,0,0,0,0,0
"2-Thiophenecarboxaldehyde",0,0,0,0,0,0,0,0,0,0.00304398666666667,0,0.00287302593333333,0,0,0.00357173026666667,0,0,0,0,0.0048765232,0,0
"2-Trifluoroacetoxydodecane",0,0,0,0,0,0,0,0.00111437563333333,0,0,0,0,0,0,0,0,0.0209626201,0,0,0,0,0
"2-Trifluoroacetoxypentadecane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0063486989,0,0,0,0,0,0,0
"2-Undecanethiol, 2-methyl-",0,0,0,0,0,0,0,0,0,0,0,0.0068083518,0.0452086529666667,0,0,0,0,0,0,0,0,0
"2-Undecanone",0,0,0,0,0,0,0,0,0,0,0,0.0497036522,0,0,0.0858629664666667,0,0,0,0,0,0,0
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",0,0,0,0.00268477806666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,3-Bis(trifluoromethyl)buta-1,3-diene",0,0,0,0,0,0.00155099966666667,0,0,0,0,0,0,0,0,0,0,0.00199851943333333,0,0,0,0,0
"2,3-Butanediol",0,0,0,0,0,0,0,0.0074131083,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,3-Butanedione",0,0.0342773731333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245298306766667,0,0,0,0,0
"2,3-dimethylfuran",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021462136,0.0326410074666667,0,0
"2,3-Epoxybutane",0,0,0,0,0,0,0,0.0048318613,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,3-Hexanedione",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0193214630333333,0.0145533049,0,0,0,0,0
"2,3,5-Trimethyl-6-ethylpyrazine",0,0,0,0,0,0,0,0,0,0.0279914688333333,0.0059595957,0,0,0.0144903184666667,0,0,0.0137424466666667,0,0,0,0,0
"2,3,5-Trimethyl-6-propylpyrazine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131711246333333,0.0073401218,0,0,0,0,0,0
"2,4-Di-tert-butylphenol",0,0,0,0,0,0,0.0141664601,0,0,0,0,0,0,0,0,0,0.0134152373666667,0,0,0,0,0
"2,4-Difluorophenol",0,0,0,0,0,0,0,0,0.00268759406666667,0,0,0,0,0,0,0,0,0,0,0.0136067752,0,0
"2,4-Dimethyl-1-heptene",0,0.0138265058333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,4-Dimethylfuran",0,0,0,0,0,0,0,0,0.0189104092,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,4-Dithiapentane",0,0,0,0,0,0,0.001367915,0.0428642779333333,0.0151107581333333,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,4-Heptadienal, 2,4-dimethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0182034697666667,0,0,0
"2,4-Hexadiene, 2,5-dimethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00272258106666667,0.00457184413333333,0.00277035676666667,0,0,0,0,0
"2,5-Difluorobenzaldehyde",0,0.0124465536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,5-Furandione, 3-(1,1-dimethylethyl)-",0,0,0,0,0.00384383013333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,6-Lutidine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00687786196666667,0,0,0,0,0,0
